PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARYMILL,PAGEVIEWS,FAVORITE,RETWEET
Dante Exum,PG,21,18.6,2.3,5.5,0.427,0.7,2.3,0.295,1.7,3.2,0.519,0.9,1.1,0.795,0.5,1.5,1.7,0.3,0.2,1.2,2.2,6.2,UTAH,66,18.6,40,3.94,483,48.5,28
Boris Diaw,PF,34,17.6,2,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.4,0.5,0.743,0.6,1.5,2.3,0.2,0.1,1.2,1.1,4.6,UTAH,73,17.6,45,7,489.5,136.5,13
Dion Waiters,SG,25,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.438,1.8,2.8,0.646,0.4,2.9,4.3,0.9,0.4,2.2,2.1,15.8,MIA,46,30.1,27,2.9,512,0,7
Cory Joseph,PG,25,25,3.7,8.3,0.452,0.6,1.7,0.356,3.1,6.6,0.477,1.2,1.5,0.77,0.6,2.3,3.3,0.8,0.2,1.4,1.8,9.3,TOR,80,25,49,7.32,516.5,48.5,15
Frank Kaminsky,C,23,26.1,4.3,10.7,0.399,1.5,4.7,0.328,2.7,6,0.455,1.6,2.1,0.756,0.8,3.7,2.2,0.6,0.5,1,1.9,11.7,CHA,75,26.1,31,2.73,517,112.5,29
Julius Randle,PF,22,28.8,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,2.8,3.8,0.723,2,6.6,3.6,0.7,0.5,2.3,3.4,13.2,LAL,74,28.8,24,3.27,519,102,59
Patty Mills,PG,28,21.9,3.4,7.8,0.44,1.8,4.4,0.414,1.6,3.3,0.474,0.8,1,0.825,0.3,1.5,3.5,0.8,0,1.3,1.4,9.5,SA,80,21.9,60,3.58,522,112,19
Austin Rivers,SG,24,27.8,4.4,9.9,0.442,1.5,4,0.371,2.9,5.8,0.491,1.8,2.6,0.691,0.3,1.9,2.8,0.6,0.1,1.6,2.5,12,LAC,74,27.8,43,11,525,75.5,23
Zach Randolph,PF,35,24.5,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,1.9,2.6,0.731,2.5,5.7,1.7,0.5,0.1,1.4,1.9,14.1,MEM,73,24.5,38,10.36,528.5,47,18.5
Emmanuel Mudiay,PG,20,25.6,3.8,10,0.377,1,3.2,0.315,2.8,6.8,0.408,2.4,3,0.784,0.5,2.7,3.9,0.7,0.2,2.2,1.7,11,DEN,55,25.6,25,3.24,545,69,21
Jrue Holiday,PG,26,32.7,6,13.3,0.454,1.5,4.2,0.356,4.6,9.1,0.498,1.8,2.5,0.708,0.7,3.3,7.3,1.5,0.7,2.9,2,15.4,NO,67,32.7,32,11.29,547.5,0,39
Domantas Sabonis,PF,20,20.1,2.4,5.9,0.399,0.6,2,0.321,1.7,4,0.438,0.5,0.8,0.657,0.6,3,1,0.5,0.4,1,2.5,5.9,OKC,81,20.1,46,2.44,550.5,0,82
Chandler Parsons,SF,28,19.9,2.2,6.5,0.338,0.7,2.7,0.269,1.5,3.8,0.388,1,1.3,0.814,0.2,2.3,1.6,0.6,0.1,0.7,1.5,6.2,MEM,34,19.9,18,22.12,555.5,59,16
Evan Turner,SF,28,25.5,3.6,8.5,0.426,0.5,1.8,0.263,3.1,6.7,0.47,1.3,1.6,0.825,0.6,3.2,3.2,0.8,0.4,1.5,1.9,9,POR,65,25.5,34,16.39,564,17,13
Marreese Speights,C,29,15.7,3,6.7,0.445,1.3,3.4,0.372,1.7,3.3,0.52,1.5,1.7,0.876,1.1,3.5,0.8,0.3,0.5,0.8,2.8,8.7,LAC,82,15.7,51,1.4,564.5,80,12
